word,chi2,p_value
남동생,16.835834713615334,0.0007638630031447104
웃어요,16.462216615399587,0.0009115341341032862
발바닥,16.450268465161784,0.0009166976911727249
방송,16.420417461243993,0.0009297255348858695
미래,16.291143042936945,0.0009883004691029838
이혼,16.1464968295616,0.0010581940637101929
자국,16.135743436293318,0.0010635820090750608
모델,15.897585786568222,0.0011901458478444638
빗자루,15.887729809707766,0.0011956941690732623
가기,15.883379351044834,0.0011981513776876931
자게,15.825713422023187,0.0012311996188367048
마음,15.772721169470655,0.0012623666067322823
신어,15.718243091709162,0.001295224028862738
하라,15.703825857689852,0.0013040606743619043
그날,15.409576987440106,0.0014980726302933711
코인,15.24210081521479,0.0016210206024749546
굳이,15.21274986126728,0.0016435762602045906
자기,15.080740225729642,0.0017489347508344683
소변,15.047467193380614,0.0017765309874465645
편의점,15.021224696246776,0.0017986005355030258
문제,14.866834213574611,0.0019340578926962824
허벅지,14.787640015053945,0.002007418739543613
성문,14.770224257001193,0.0020239182408722965
머리카락,14.676025467987603,0.002115520027578491
배우,14.54242801125713,0.002252525495904165
말대꾸,14.427713023962932,0.0023771629196980893
어깨,14.25852698361482,0.002573561467615389
운동화,14.056161907155943,0.0028296949754876527
갑자기,14.013898325888615,0.0028862956825852506
그다음,13.89935532729279,0.0030453979545638442
배탈,13.871126182421833,0.0030859250839295376
장염,13.871126182421833,0.0030859250839295376
사자,13.871126182421833,0.0030859250839295376
물건,13.858933796365825,0.003103593871207728
여기저기,13.826598342356935,0.003150940169692025
폭발,13.774367301780135,0.003228933884116041
악몽,13.77049102294564,0.0032347977686937686
라면,13.736595097544637,0.0032865257276008114
난대,13.715390511279146,0.003319301430369303
배랑,13.664574710215419,0.0033991704310346632
잘못,13.558871899019916,0.003571455580808161
협박,13.53674496926919,0.0036086004129289775
안고,13.497552670924728,0.003675334489722219
아예,13.495867346575007,0.003678231394301525
입술,13.357788462434893,0.003923418899372157
집안일,13.253716259871382,0.004118852157257054
눈치,13.192343155761074,0.004238587838403369
부어,13.177821249659981,0.004267419634158415
경찰서,13.169319106429011,0.0042843897999552075
찜질,13.097932901740556,0.004429535923015636
가다가,13.070911360363771,0.004485738220801546
언니,13.034107747792234,0.00456342305471363
보시,12.984941721566639,0.0046692832467365416
반찬,12.9446859451995,0.0047577650608554
소개,12.832728601525266,0.005012663790333194
도망,12.782653364778998,0.005131001522077753
주로,12.769142818718283,0.005163400279773251
심장,12.75285830916447,0.005202720147944647
이마,12.688367264662816,0.00536136765933158
중간,12.666918685852142,0.005415184028200007
자서,12.65769198093138,0.005438498669760639
급식,12.617238365857363,0.005541896846257539
