word,chi2,p_value
보여주다,30.384396112107108,1.1455762943829714e-06
학원,30.223182880143767,1.2386409174649685e-06
나가다,30.14150014167534,1.288636632635883e-06
이후,30.085364686613566,1.3241581878892512e-06
작아지다,29.48449095566069,1.7713536748370921e-06
잡고,29.090059104001543,2.1439386073021e-06
스럽다,28.827488217301365,2.434353484046866e-06
들어서다,28.578070726102233,2.7464802581192725e-06
왕따,28.462373274382244,2.904524626638306e-06
당하다,28.202886152864355,3.2927640532643967e-06
집도,28.180225056984817,3.32903293223087e-06
징그럽다,28.050997637967864,3.543608932705223e-06
파리채,27.976713140907332,3.6731437263422357e-06
지저분하다,27.449822615503816,4.737967302981325e-06
버스,27.419959347053048,4.8067995387231045e-06
차려,27.40289726669448,4.846572971280413e-06
돋다,27.30765386158792,5.074702180034194e-06
빨다,27.134575549733277,5.517026773015334e-06
종아리,27.12486287824019,5.542958302621156e-06
씻다,27.023302903165217,5.821500038315147e-06
부다,26.909132216964977,6.151329514347667e-06
버리다,26.33335914502092,8.121163388743432e-06
멍청하다,26.272281812422165,8.3639484498607e-06
이유,25.496970882886973,1.2153902592434873e-05
경찰,25.38077469968122,1.2853625355585073e-05
쫓아오다,25.295917288431937,1.3389874985883036e-05
마구,25.03199036751414,1.5204511276670105e-05
화낼,24.667865962470913,1.81171022789936e-05
사귀다,24.404694931159668,2.0562526060945846e-05
용돈,24.266707121258783,2.1973507478266523e-05
지난주,24.256242465617312,2.2084369232620648e-05
놀리다,24.247432693905132,2.217813142402579e-05
지지,24.09355051727933,2.388140197017285e-05
생리,24.09355051727933,2.388140197017285e-05
차단,24.09355051727933,2.388140197017285e-05
들어주다,24.08027798648577,2.4034281080704255e-05
해달라다,23.959773955283662,2.546770985352233e-05
닿다,23.91869036048052,2.597563811991467e-05
차다,23.905991601764974,2.6134669996318253e-05
식은땀,23.850596481053064,2.6839834190301103e-05
새엄마,23.828477004224474,2.7126678485577526e-05
써다,23.787203833887787,2.7670101569088864e-05
그때,23.711856447539603,2.8690299173826464e-05
보라,23.682374465100963,2.9099611520067267e-05
지기,23.41737079087898,3.305015169383145e-05
기사,23.41737079087898,3.305015169383145e-05
싸우다,23.219309665457775,3.634781860218673e-05
대고,23.084375457961727,3.8780253746033535e-05
아래,23.06445355222257,3.915287058890439e-05
나무,23.021155587108296,3.9975059306795846e-05
문자,22.8844981676878,4.268459766438826e-05
심하다,22.8744974726033,4.288992372833713e-05
회초리,22.86257976251412,4.3135893992946484e-05
벌리다,22.81107785479729,4.421510865728116e-05
따라오다,22.67559684860853,4.7184300038702116e-05
차별,22.629415693465887,4.824114803261851e-05
짜증,22.564425212951896,4.9768513231336555e-05
별로,22.547810532402934,5.016665396466575e-05
부위,22.53972935057611,5.0361450416228086e-05
세탁기,22.497072916195393,5.14022382313779e-05
들어오다,22.392400610882724,5.404788281315379e-05
다니다,22.196173532442486,5.9378543946715395e-05
올리다,22.143516870474905,6.089606732165549e-05
만나다,22.039402961084658,6.401119574966413e-05
막말,21.95142805493799,6.676683859541177e-05
효자손,21.82999852759245,7.076552000274066e-05
방망이,21.800823446522777,7.176127161994455e-05
끔찍하다,21.617443404731507,7.83475902030119e-05
아깝다,21.562721393376375,8.04272136510132e-05
보살피다,21.28008358319437,9.207632072204372e-05
신고,21.16820042210965,9.713896198007782e-05
번은,21.154500003566433,9.777764819332648e-05
카페,21.05409582907232,0.00010258768506667137
설사,21.01513645666043,0.00010451692681716009
쓰레기,20.688825080109076,0.0001221610527091465
뛰다,20.65280204355423,0.00012428216824607506
밤늦다,20.57314676802669,0.00012910353615690572
동영상,20.43326914997493,0.00013802495294702543
골프채,20.394790807964846,0.00014058499164062735
자꾸,20.375071303488586,0.0001419152338784133
숙제,20.302169568916526,0.000146942767472109
잡다,20.270176454822273,0.0001492047242750991
귀찮다,20.187454946429124,0.00015521521653579938
운전기사,20.077958764399437,0.00016354333887587226
주고받다,20.077958764399437,0.00016354333887587226
비비다,20.077958764399437,0.00016354333887587226
죽다,20.01996762032541,0.00016813272204775165
선수,19.760516817840035,0.00019028645923915122
차고,19.69026656990854,0.00019676946439101172
꿰매다,19.63210725785346,0.00020230265213420283
늦다,19.625582934027896,0.0002029329467031728
끼치다,19.5908962199419,0.00020631688377519304
상한,19.532678674938282,0.00021212310760593885
가보다,19.507176274967712,0.00021471749279737475
