word,성학대,신체학대,정서학대,방임
과학,2.0,2.0,4.0,0.0
과학자,0.0,1.0,4.0,0.0
관계,13.0,1.0,1.0,0.0
관련,1.0,6.0,2.0,0.0
관리,0.0,4.0,1.0,2.0
관심,71.0,101.0,64.0,113.0
관장,5.0,4.0,1.0,0.0
괜찮다,126.0,226.0,148.0,119.0
괜히,10.0,23.0,9.0,4.0
괴롭다,9.0,28.0,14.0,9.0
괴롭히다,39.0,60.0,46.0,26.0
괴롭힘,4.0,3.0,2.0,3.0
괴물,9.0,22.0,12.0,0.0
교사,0.0,2.0,2.0,1.0
교실,8.0,10.0,9.0,2.0
교통사고,2.0,3.0,2.0,0.0
교환,0.0,2.0,2.0,2.0
교회,6.0,6.0,2.0,1.0
구경,7.0,8.0,8.0,8.0
구경해,2.0,2.0,3.0,1.0
구기다,1.0,3.0,0.0,7.0
구둣주걱,0.0,5.0,0.0,0.0
구르다,0.0,4.0,0.0,1.0
구멍,3.0,2.0,1.0,2.0
구박,0.0,3.0,3.0,0.0
구석,5.0,9.0,5.0,0.0
국어,2.0,2.0,1.0,1.0
국자,0.0,5.0,0.0,0.0
군데,0.0,5.0,2.0,0.0
군인,1.0,6.0,0.0,0.0
굳다,3.0,23.0,10.0,4.0
굳이,2.0,7.0,1.0,10.0
굶다,29.0,66.0,31.0,85.0
굽다,2.0,2.0,0.0,1.0
궁금하다,10.0,11.0,2.0,3.0
귀가,1.0,6.0,3.0,0.0
귀신,3.0,6.0,8.0,7.0
귀엽다,19.0,26.0,16.0,8.0
귀찮다,17.0,40.0,19.0,39.0
규칙,3.0,11.0,4.0,7.0
그거,23.0,32.0,15.0,13.0
그건,51.0,74.0,54.0,31.0
그걸,9.0,29.0,8.0,6.0
그것,16.0,33.0,21.0,17.0
그게,35.0,53.0,33.0,21.0
그나마,2.0,6.0,3.0,5.0
그날,22.0,24.0,7.0,4.0
그네,1.0,7.0,3.0,4.0
그다음,9.0,3.0,1.0,3.0
그대로,2.0,7.0,3.0,3.0
그때,100.0,111.0,66.0,50.0
그땐,0.0,5.0,4.0,0.0
그래도,56.0,95.0,52.0,47.0
그러니까,16.0,28.0,20.0,10.0
그럭저럭,2.0,4.0,0.0,3.0
그렇게,42.0,108.0,75.0,45.0
그릇,0.0,5.0,1.0,2.0
그리기,3.0,3.0,1.0,2.0
그리다,15.0,22.0,12.0,17.0
그린,2.0,4.0,2.0,0.0
그릴,3.0,1.0,2.0,2.0
그림,18.0,27.0,18.0,21.0
그만,13.0,54.0,37.0,14.0
그만두다,6.0,7.0,8.0,2.0
그만하다,11.0,26.0,14.0,7.0
그저,1.0,10.0,1.0,5.0
그저께,2.0,18.0,1.0,5.0
그치다,0.0,2.0,2.0,1.0
근육,2.0,4.0,1.0,0.0
근처,6.0,8.0,5.0,4.0
글쎄요,10.0,12.0,6.0,10.0
긁다,6.0,21.0,6.0,5.0
긁혔어,2.0,6.0,3.0,0.0
긁힌,0.0,7.0,0.0,1.0
금방,8.0,28.0,15.0,13.0
금요일,6.0,1.0,3.0,1.0
금지,3.0,3.0,0.0,0.0
급식,5.0,9.0,1.0,11.0
급하다,1.0,5.0,3.0,7.0
긋다,6.0,3.0,3.0,2.0
긍정,4.0,6.0,3.0,4.0
기간,0.0,5.0,3.0,1.0
기계,0.0,4.0,1.0,0.0
기다,10.0,19.0,14.0,17.0
기다리다,14.0,16.0,13.0,7.0
기대,2.0,3.0,3.0,1.0
기대하다,3.0,1.0,3.0,1.0
기도,49.0,123.0,53.0,50.0
기만,3.0,4.0,1.0,2.0
기본,1.0,9.0,0.0,2.0
기분,144.0,339.0,167.0,142.0
기쁘다,8.0,3.0,1.0,1.0
기사,7.0,0.0,0.0,1.0
기억,74.0,171.0,61.0,68.0
기억나다,5.0,10.0,3.0,3.0
기운,2.0,7.0,3.0,4.0
기자,1.0,2.0,3.0,0.0
기절,1.0,2.0,2.0,2.0
기준,0.0,6.0,2.0,0.0
기침,2.0,2.0,1.0,1.0
기회,0.0,2.0,1.0,2.0
